name,points
 POGAČAR Tadej,3413
 VAN AERT Wout,2862
 EVENEPOEL Remco,2790
 VINGEGAARD Jonas,2039
 VLASOV Aleksandr,1804
 BILBAO Pello,1750
 PEDERSEN Mads,1532
 PHILIPSEN Jasper,1490
 DE LIE Arnaud,1464
 KRISTOFF Alexander,1410
 VALVERDE Alejandro,1382
 DÉMARE Arnaud,1359
 HIGUITA Sergio,1334
 KÜNG Stefan,1332.7
 MARTÍNEZ Daniel Felipe,1290
 MATTHEWS Michael,1267.7
 HINDLEY Jai,1264
 MAS Enric,1248
 LAPORTE Christophe,1237
 VAN DER POEL Mathieu,1233.5
 ROGLIČ Primož,1205
 CARAPAZ Richard,1204
 YATES Simon,1154
 GIRMAY Biniam,1153
 YATES Adam,1132
 POWLESS Neilson,1087
 ARENSMAN Thymen,1071
 RODRÍGUEZ Carlos,1047
 HAYTER Ethan,1041
 GROENEWEGEN Dylan,1037
 O'CONNOR Ben,1013
 MARTIN Guillaume,1010
 COSNEFROY Benoît,1008
 THOMAS Geraint,990
 KOOIJ Olav,988
 ALMEIDA João,987
 SKJELMOSE Mattias,983
 BARDET Romain,977
 AYUSO Juan,959
 MERLIER Tim,951
 TEUNS Dylan,950
 MADOUAS Valentin,936
 MOHORIČ Matej,931
 MEINTJES Louis,909
 JAKOBSEN Fabio,909
 HOFSTETTER Hugo,902
 LANDA Mikel,856
 GAUDU David,853
 LÓPEZ Miguel Ángel,842
 VINE Jay,841
 ULISSI Diego,828
 ROTA Lorenzo,818
 MCNULTY Brandon,794
 BENNETT Sam,783
 EWAN Caleb,778
 SCHMID Mauro,773.7
 TRENTIN Matteo,770
 VAN POPPEL Danny,765
 PINOT Thibaut,763
 BARGUIL Warren,756
 THOMAS Benjamin,748
 HIRSCHI Marc,741
 SHEFFIELD Magnus,738
 VAN BAARLE Dylan,730
 PIDCOCK Thomas,718
 ZINGLE Axel,701
 COQUARD Bryan,698
 QUINTANA Nairo,690
 GUERREIRO Ruben,674
 HERMANS Quinten,669
 BETTIOL Alberto,665
 CONSONNI Simone,662
 MOLLEMA Bauke,661.5
 MOZZATO Luca,658
 CARUSO Damiano,654
 CAPIOT Amaury,648
 SIMON Julien,642
 CICCONE Giulio,640
 GANNA Filippo,622.3
 SIVAKOV Pavel,616
 URÁN Rigoberto,612
